Humidity,Fiber sensing region ,Chitosan Wt,LED color,Output Intensity 
30,1 cm,1 gm,White,122
35,1 cm,1 gm,White,120
40,1 cm,1 gm,White,118
45,1 cm,1 gm,White,115
50,1 cm,1 gm,White,113
55,1 cm,1 gm,White,109
60,1 cm,1 gm,White,107
65,1 cm,1 gm,White,106
70,1 cm,1 gm,White,105
75,1 cm,1 gm,White,105
30,5 cm,1 gm,White,130
35,5 cm,1 gm,White,126
40,5 cm,1 gm,White,122
45,5 cm,1 gm,White,116
50,5 cm,1 gm,White,110
55,5 cm,1 gm,White,107
60,5 cm,1 gm,White,105
65,5 cm,1 gm,White,103
70,5 cm,1 gm,White,101
75,5 cm,1 gm,White,100
30,1 cm,2 gm,White,116
35,1 cm,2 gm,White,114
40,1 cm,2 gm,White,111
45,1 cm,2 gm,White,108
50,1 cm,2 gm,White,106
55,1 cm,2 gm,White,103
60,1 cm,2 gm,White,98
65,1 cm,2 gm,White,95
70,1 cm,2 gm,White,94
75,1 cm,2 gm,White,94
30,5 cm,2 gm,White,127
35,5 cm,2 gm,White,124
40,5 cm,2 gm,White,119
45,5 cm,2 gm,White,114
50,5 cm,2 gm,White,109
55,5 cm,2 gm,White,102
60,5 cm,2 gm,White,96
65,5 cm,2 gm,White,92
70,5 cm,2 gm,White,88
75,5 cm,2 gm,White,86
30,1 cm,3 gm,White,114
35,1 cm,3 gm,White,113
40,1 cm,3 gm,White,110
45,1 cm,3 gm,White,108
50,1 cm,3 gm,White,106
55,1 cm,3 gm,White,102
60,1 cm,3 gm,White,98
65,1 cm,3 gm,White,95
70,1 cm,3 gm,White,93
75,1 cm,3 gm,White,92
30,5 cm,3 gm,White,125
35,5 cm,3 gm,White,123
40,5 cm,3 gm,White,117
45,5 cm,3 gm,White,109
50,5 cm,3 gm,White,102
55,5 cm,3 gm,White,97
60,5 cm,3 gm,White,93
65,5 cm,3 gm,White,91
70,5 cm,3 gm,White,89
75,5 cm,3 gm,White,88
30,1 cm,1 gm,Red,120
35,1 cm,1 gm,Red,119
40,1 cm,1 gm,Red,117
45,1 cm,1 gm,Red,114
50,1 cm,1 gm,Red,111
55,1 cm,1 gm,Red,109
60,1 cm,1 gm,Red,107
65,1 cm,1 gm,Red,105
70,1 cm,1 gm,Red,105
75,1 cm,1 gm,Red,105
30,5 cm,1 gm,Red,132
35,5 cm,1 gm,Red,128
40,5 cm,1 gm,Red,121
45,5 cm,1 gm,Red,115
50,5 cm,1 gm,Red,107
55,5 cm,1 gm,Red,104
60,5 cm,1 gm,Red,100
65,5 cm,1 gm,Red,98
70,5 cm,1 gm,Red,97
75,5 cm,1 gm,Red,95
30,1 cm,2 gm,Red,115
35,1 cm,2 gm,Red,113
40,1 cm,2 gm,Red,109
45,1 cm,2 gm,Red,106
50,1 cm,2 gm,Red,102
55,1 cm,2 gm,Red,101
60,1 cm,2 gm,Red,96
65,1 cm,2 gm,Red,93
70,1 cm,2 gm,Red,92
75,1 cm,2 gm,Red,90
30,5 cm,2 gm,Red,135
35,5 cm,2 gm,Red,129
40,5 cm,2 gm,Red,121
45,5 cm,2 gm,Red,114
50,5 cm,2 gm,Red,108
55,5 cm,2 gm,Red,100
60,5 cm,2 gm,Red,95
65,5 cm,2 gm,Red,90
70,5 cm,2 gm,Red,86
75,5 cm,2 gm,Red,84
30,1 cm,3 gm,Red,112
35,1 cm,3 gm,Red,111
40,1 cm,3 gm,Red,109
45,1 cm,3 gm,Red,107
50,1 cm,3 gm,Red,103
55,1 cm,3 gm,Red,99
60,1 cm,3 gm,Red,94
65,1 cm,3 gm,Red,92
70,1 cm,3 gm,Red,91
75,1 cm,3 gm,Red,90
30,5 cm,3 gm,Red,132
35,5 cm,3 gm,Red,129
40,5 cm,3 gm,Red,122
45,5 cm,3 gm,Red,113
50,5 cm,3 gm,Red,99
55,5 cm,3 gm,Red,93
60,5 cm,3 gm,Red,90
65,5 cm,3 gm,Red,88
70,5 cm,3 gm,Red,87
75,5 cm,3 gm,Red,84
